[2024-09-17 02:08:24.425]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-09-17 02:08:24.439]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-09-17 02:08:24.811]	 Installing "tmux-cpu"
[2024-09-17 02:08:24.812]	 Installing "tmux-yank"
[2024-09-17 02:08:25.445]	   "tmux-cpu" download success
[2024-09-17 02:08:25.477]	   "tmux-yank" download success
[2024-09-17 02:08:25.493]	 Done.

[2024-09-17 02:08:37.220]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-09-17 02:08:37.256]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-09-17 02:08:37.501]	 Already installed "tmux-yank"
[2024-09-17 02:08:37.502]	 Already installed "tmux-cpu"
[2024-09-17 02:08:37.518]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-09-17 02:08:37.834]	 Updating all plugins!
[2024-09-17 02:08:37.834]	 
[2024-09-17 02:08:38.330]	   "tmux-cpu" update success
[2024-09-17 02:08:38.332]	     | Already up to date.
[2024-09-17 02:08:38.346]	   "tmux-yank" update success
[2024-09-17 02:08:38.349]	     | Already up to date.
[2024-09-17 02:08:38.365]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/clean_plugins all
[2024-09-17 02:08:38.724]	 Done.

[2024-09-17 02:09:16.120]	 List of discovered tpm plugins: tmux-plugins/tmux-yank tmux-plugins/tmux-cpu
[2024-09-17 02:09:16.137]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/install_plugins
[2024-09-17 02:09:16.365]	 Already installed "tmux-cpu"
[2024-09-17 02:09:16.365]	 Already installed "tmux-yank"
[2024-09-17 02:09:16.382]	 Invoking /Users/stearns/.tmux/plugins/tpm/bin/update_plugins all
[2024-09-17 02:09:16.557]	 Updating all plugins!
[2024-09-17 02:09:16.557]	 
[2024-09-17 02:09:17.133]	   "tmux-cpu" update success
